filename,umap_x,umap_y,cluster_id
48_V1_o2sat.png,5.386492,4.3108444,2
48_V2_o2sat.png,5.644307,4.238073,2
48_V3_o2sat.png,5.5559254,4.2970796,2
48_V4_o2sat.png,5.557848,4.396891,2
49_V1_o2sat.png,2.2938638,4.998732,-1
4_V1_o2sat.png,0.059325945,4.761894,6
4_V3_o2sat.png,1.8598857,3.069199,12
50_V1_o2sat.png,-0.25005794,1.9484497,4
50_V2_o2sat.png,-0.03750232,1.984926,4
50_V3_o2sat.png,0.18649189,3.3719218,10
50_V4_o2sat.png,2.02575,2.4289887,-1
50_V5_o2sat.png,4.126094,5.6105328,0
50_V6_o2sat.png,4.3991375,5.561068,0
50_V7_o2sat.png,4.3576703,4.3768525,1
50_V8_o2sat.png,4.1241846,5.504672,0
50_V9_o2sat.png,3.9978793,5.612717,0
51_V1_o2sat.png,1.6241798,1.8859482,11
51_V2_o2sat.png,1.3709742,1.9979713,11
51_V3_o2sat.png,1.1569775,1.8987511,-1
51_V4_o2sat.png,1.4549155,1.7350038,11
51_V5_o2sat.png,0.7762229,2.6496603,-1
52_V1_o2sat.png,2.0642936,4.036677,9
52_V2_o2sat.png,0.5762179,3.016613,10
52_V3_o2sat.png,2.4241798,4.8736258,9
52_V4_o2sat.png,1.6917161,4.319027,-1
52_V5_o2sat.png,2.1130989,4.213663,9
52_V6_o2sat.png,2.2717123,4.4257026,9
53_V1_o2sat.png,3.8913434,4.3625703,1
53_V2_o2sat.png,3.5140555,5.3028903,0
53_V3_o2sat.png,2.4152277,3.9948614,-1
53_V4_o2sat.png,3.7360456,4.375077,1
54_V1_o2sat.png,2.438336,4.8221536,9
54_V2_o2sat.png,2.657038,2.8348572,-1
54_V3_o2sat.png,0.21114227,3.9457605,10
54_V4_o2sat.png,2.9031887,3.4152272,-1
54_V5_o2sat.png,3.6334195,5.598251,0
54_V6_o2sat.png,1.5790623,4.8077836,8
55_V1_o2sat.png,4.598883,3.7593322,-1
55_V2_o2sat.png,4.55294,3.344801,-1
55_V3_o2sat.png,4.59537,3.8890257,1
55_V4_o2sat.png,4.4641314,3.1687295,-1
56_V1_o2sat.png,5.0478463,4.216288,1
56_V2_o2sat.png,5.4177966,4.464527,2
56_V3_o2sat.png,5.649306,4.5177317,2
56_V4_o2sat.png,2.30562,3.4905663,-1
56_V5_o2sat.png,5.7160645,4.5259724,2
56_V6_o2sat.png,5.486773,4.4720182,2
57_V1_o2sat.png,3.3870814,3.4696188,-1
58_V1_o2sat.png,4.935134,2.0981026,3
58_V2_o2sat.png,2.6462,4.6734853,-1
59_V2_o2sat.png,-0.5773341,4.303286,-1
59_V3_o2sat.png,1.2665184,4.6938944,8
59_V4_o2sat.png,0.9211602,4.633981,8
59_V5_o2sat.png,1.0541911,4.740176,8
59_V6_o2sat.png,1.2263336,4.581817,8
59_V7_o2sat.png,1.2385447,4.6639743,8
5_V1_o2sat.png,6.515697,4.129836,3
5_V2_o2sat.png,6.748198,3.4461975,3
5_V3_o2sat.png,6.7272816,3.154296,3
5_V4_o2sat.png,6.400865,3.8706865,3
5_V5_o2sat.png,6.479427,3.5568721,3
60_V1_o2sat.png,0.7028043,4.4371734,-1
60_V2_o2sat.png,1.5853199,4.8834453,-1
60_V3_o2sat.png,0.4445386,4.3722887,-1
60_V4_o2sat.png,3.0991395,4.17784,-1
60_V5_o2sat.png,2.3910465,2.8849192,12
61_V1_o2sat.png,1.5714816,5.124972,8
61_V2_o2sat.png,3.6979635,5.564388,0
61_V3_o2sat.png,3.6750374,5.4716024,0
62_V1_o2sat.png,5.2315984,2.785841,3
62_V2_o2sat.png,5.3914337,2.7831402,3
62_V3_o2sat.png,5.5005484,2.6590083,3
62_V4_o2sat.png,4.55073,3.812797,-1
63_V1_o2sat.png,-0.23933096,3.1382413,-1
63_V2_o2sat.png,1.9981806,2.314096,11
63_V3_o2sat.png,1.3530253,3.7897995,9
63_V4_o2sat.png,1.8181204,4.1695566,9
64_V1_o2sat.png,6.674356,3.9364166,3
64_V2_o2sat.png,6.6099443,3.942066,3
64_V3_o2sat.png,6.7959785,3.84815,3
64_V5_o2sat.png,6.079341,4.006187,3
64_V6_o2sat.png,6.6276546,3.6776245,3
64_V7_o2sat.png,5.462262,3.5189426,-1
64_V8_o2sat.png,6.797933,3.3872738,3
65_V1_o2sat.png,-0.6644393,3.931453,10
65_V2_o2sat.png,0.8795144,1.525633,-1
65_V3_o2sat.png,0.6692647,1.6249185,-1
65_V4_o2sat.png,-0.79365057,4.9699497,5
66_V1_o2sat.png,0.28551298,2.0628967,4
66_V2_o2sat.png,1.3222498,5.3924365,-1
66_V3_o2sat.png,1.9102815,4.7239866,-1
66_V4_o2sat.png,0.13658966,2.9451594,-1
67_V1_o2sat.png,1.1718544,2.3970096,-1
67_V2_o2sat.png,1.1899132,2.377379,-1
67_V3_o2sat.png,2.3148959,3.8947852,-1
67_V4_o2sat.png,2.4808574,2.9439485,12
67_V5_o2sat.png,3.8593967,2.8478744,-1
67_V6_o2sat.png,3.8087986,2.9198103,-1
67_V7_o2sat.png,2.2297866,2.8763947,12
67_V8_o2sat.png,2.3048422,2.9999611,12
68_V1_o2sat.png,-1.2182026,5.4013753,5
68_V2_o2sat.png,-1.059525,5.521827,5
68_V3_o2sat.png,-0.7883454,5.232147,5
68_V4_o2sat.png,-1.0899235,5.211464,5
68_V5_o2sat.png,-1.0929948,5.4057283,5
68_V6_o2sat.png,-1.162809,5.4891834,5
68_V7_o2sat.png,-1.0944253,5.3256283,5
68_V8_o2sat.png,-1.1247704,5.20934,5
68_V9_o2sat.png,-1.0980191,5.059669,5
69_V1_o2sat.png,3.7669759,4.3840504,1
69_V2_o2sat.png,3.2779393,4.363817,1
69_V3_o2sat.png,3.1541185,4.3851824,1
69_V4_o2sat.png,3.2150018,4.8386087,-1
69_V5_o2sat.png,3.2210045,4.5252566,1
69_V6_o2sat.png,3.5965567,4.420469,1
69_V7_o2sat.png,3.2847455,4.7297006,1
70_V2_o2sat.png,-0.09740923,5.1622076,5
71_V2_o2sat.png,0.84692293,5.6295133,-1
71_V3_o2sat.png,1.4006963,5.31,-1
71_V4_o2sat.png,0.99267864,5.7021847,-1
71_V5_o2sat.png,0.9539512,5.7025657,-1
72_V1_o2sat.png,1.3712484,3.01123,10
72_V2_o2sat.png,1.5089234,3.0447812,-1
72_V3_o2sat.png,1.8670367,4.1349106,9
72_V4_o2sat.png,2.202766,3.4001088,-1
72_V5_o2sat.png,2.3208404,4.781118,9
73_V1_o2sat.png,4.87801,2.5001888,3
73_V2_o2sat.png,5.1661634,2.142883,3
73_V3_o2sat.png,5.2517033,2.101146,3
73_V4_o2sat.png,6.002329,4.071299,-1
74_V1_o2sat.png,2.5705228,4.3429875,9
75_V1_o2sat.png,4.620562,4.3046455,1
75_V2_o2sat.png,4.530341,4.2832837,1
75_V3_o2sat.png,4.268026,4.717158,1
75_V4_o2sat.png,4.6732683,4.9681716,-1
75_V5_o2sat.png,3.9078085,5.270667,0
75_V6_o2sat.png,4.210583,4.895634,-1
75_V7_o2sat.png,4.3310127,4.357724,1
75_V8_o2sat.png,4.5308075,4.2633505,1
75_V9_o2sat.png,4.246233,4.494764,1
76_V1_o2sat.png,6.5781784,3.4553695,3
76_V2_o2sat.png,5.975136,2.373122,3
77_V1_o2sat.png,3.4124753,5.630331,0
77_V2_o2sat.png,3.2244518,5.659683,-1
78_V1_o2sat.png,-0.33044782,3.7077901,10
78_V2_o2sat.png,2.1698039,4.6690526,9
78_V3_o2sat.png,-0.9258261,4.3664722,-1
